078633,Bach,Johann Sebastian,Concerto No. 2 in F major,BWV1047
058262,Bach,Johann Sebastian,Suite No. 1 in G major,BWV1007
000230,Bach,Johann Sebastian,Toccata and Fugue in D minor,BWV565
025262,van Beethoven,Ludwig,Violin Sonata No. 9 in A major,GAxii/100
067355,van Beethoven,Ludwig,Symphony No. 9,GAi/9
019622,Mozart,Wolfgang Amadeus,Symphony No. 25,KV183
072306,Bach,Johann Sebastian,The Art of Fugue,BWV1080
080384,Smetana,Bedřich,Má vlast,JB1:112
024094,van Beethoven,Ludwig,Piano Sonata No. 8 "Pathétique" in C minor,GAxvi/131
054607,Bach,Johann Sebastian,Suite No. 1 in G major,BWV1007
007163,Bach,Johann Sebastian,The Art of Fugue,BWV1080
062617,Haydn,Joseph,String Quartet No. 62,Hob.III:77
043875,Bach,Johann Sebastian,Toccata and Fugue in D minor,BWV565
057324,Wagner,Richard,Die Walküre,WWV86B
051959,Wagner,Richard,Das Rheingold,WWV86A
069513,Dvořák,Antonín,Symphony No. 9 in E minor "From the New World",B178
078851,Bach,Johann Sebastian,Toccata and Fugue in D minor,BWV565
066329,Mozart,Wolfgang Amadeus,Symphony No. 25,KV183
018383,Mozart,Wolfgang Amadeus,Sinfonia Concertante for Violin, Viola and Orchestra,KV364
019881,Dvořák,Antonín,Symphony No. 9 in E minor "From the New World",B178
057836,Wagner,Richard,Die Walküre,WWV86B
031088,Dvořák,Antonín,Symphony No. 9 in E minor "From the New World",B178
034773,Wagner,Richard,Der fliegende Holländer,WWV63
079393,Mozart,Wolfgang Amadeus,Die Entführung aus dem Serail,KV384
076693,van Beethoven,Ludwig,König Stephan Overture in Eb major,GAiii/23
012186,Mozart,Wolfgang Amadeus,Die Zauberflöte,KV620
028733,Bach,Johann Sebastian,Goldberg Variations,BWV988
078431,Haydn,Joseph,The Creation,Hob.XXI:2
031676,Bach,Johann Sebastian,Goldberg Variations,BWV988
014698,Mozart,Wolfgang Amadeus,Die Zauberflöte,KV620
096908,Haydn,Joseph,String Quartet No. 62,Hob.III:77
055876,Smetana,Bedřich,Má vlast,JB1:112
013354,van Beethoven,Ludwig,Piano Sonata No. 8 "Pathétique" in C minor,GAxvi/131
050457,Mozart,Wolfgang Amadeus,Symphony No. 25,KV183
071685,Bach,Johann Sebastian,Goldberg Variations,BWV988
089848,Haydn,Joseph,String Quartet No. 62,Hob.III:77
001985,Bach,Johann Sebastian,Suite No. 1 in G major,BWV1007
090983,Mozart,Wolfgang Amadeus,Die Entführung aus dem Serail,KV384
016920,Wagner,Richard,Der fliegende Holländer,WWV63
016637,van Beethoven,Ludwig,Piano Sonata No. 8 "Pathétique" in C minor,GAxvi/131
