089387,Mozart,Wolfgang Amadeus,Requiem in D minor,KV626
031054,Mozart,Wolfgang Amadeus,Die Entführung aus dem Serail,KV384
002968,Mozart,Wolfgang Amadeus,Symphony No. 41,KV551
037778,van Beethoven,Ludwig,Piano Sonata No. 14 "Moonlight" in C♯ minor,GAxvi/137
061892,Smetana,Bedřich,Má vlast,JB1:112
088247,Smetana,Bedřich,Libuše,JB1:102
097582,van Beethoven,Ludwig,Symphony No. 7,GAi/7
048325,Wagner,Richard,Das Rheingold,WWV86A
049265,van Beethoven,Ludwig,Piano Sonata No. 14 "Moonlight" in C♯ minor,GAxvi/137
006530,Mozart,Wolfgang Amadeus,Sinfonia Concertante for Violin, Viola and Orchestra,KV364
004735,van Beethoven,Ludwig,Piano Sonata No. 8 "Pathétique" in C minor,GAxvi/131
096437,Mozart,Wolfgang Amadeus,Serenade No. 10,KV361
020746,van Beethoven,Ludwig,Symphony No. 7,GAi/7
063493,van Beethoven,Ludwig,Symphony No. 7,GAi/7
062159,van Beethoven,Ludwig,"Egmont" Overture in F minor,GAii/12
064065,Mozart,Wolfgang Amadeus,Sinfonia Concertante for Violin, Viola and Orchestra,KV364
000982,Wagner,Richard,Parsifal,WWV111
085675,van Beethoven,Ludwig,Piano Sonata No. 14 "Moonlight" in C♯ minor,GAxvi/137
083507,Wagner,Richard,Lohengrin,WWV75
058914,Mozart,Wolfgang Amadeus,Die Entführung aus dem Serail,KV384
079648,Mozart,Wolfgang Amadeus,Symphony No. 41,KV551
032185,Wagner,Richard,Das Rheingold,WWV86A
017076,van Beethoven,Ludwig,"Egmont" Overture in F minor,GAii/12
055813,Mozart,Wolfgang Amadeus,Die Zauberflöte,KV620
092697,Wagner,Richard,Die Walküre,WWV86B
088893,Mozart,Wolfgang Amadeus,Symphony No. 25,KV183
033115,Haydn,Joseph,The Creation,Hob.XXI:2
026470,van Beethoven,Ludwig,Piano Sonata No. 8 "Pathétique" in C minor,GAxvi/131
033884,van Beethoven,Ludwig,Piano Sonata No. 8 "Pathétique" in C minor,GAxvi/131
017577,Haydn,Joseph,The Creation,Hob.XXI:2
007811,Bach,Johann Sebastian,St Matthew Passion,BWV244
018658,van Beethoven,Ludwig,Piano Sonata No. 15 "Pastoral" in D major,GAxvi/138
008786,Wagner,Richard,Parsifal,WWV111
094894,Smetana,Bedřich,Má vlast,JB1:112
005621,Mozart,Wolfgang Amadeus,Die Zauberflöte,KV620
096558,van Beethoven,Ludwig,"Egmont" Overture in F minor,GAii/12
055858,van Beethoven,Ludwig,Piano Sonata No. 15 "Pastoral" in D major,GAxvi/138
016780,Mozart,Wolfgang Amadeus,Die Entführung aus dem Serail,KV384
075909,Wagner,Richard,Das Rheingold,WWV86A
024325,Wagner,Richard,Die Walküre,WWV86B
004385,van Beethoven,Ludwig,Piano Sonata No. 15 "Pastoral" in D major,GAxvi/138
081587,Mozart,Wolfgang Amadeus,Symphony No. 41,KV551
012362,Bach,Johann Sebastian,St Matthew Passion,BWV244
