068097,van Beethoven,Ludwig,Piano Sonata No. 15 "Pastoral" in D major,GAxvi/138
010023,Bach,Johann Sebastian,St Matthew Passion,BWV244
031490,Haydn,Joseph,String Quartet No. 62,Hob.III:77
004434,Bach,Johann Sebastian,Goldberg Variations,BWV988
048627,Wagner,Richard,Lohengrin,WWV75
009693,van Beethoven,Ludwig,Piano Sonata No. 14 "Moonlight" in C♯ minor,GAxvi/137
062872,Smetana,Bedřich,Má vlast,JB1:112
098267,Mozart,Wolfgang Amadeus,Symphony No. 41,KV551
005467,Mozart,Wolfgang Amadeus,Serenade No. 10,KV361
070991,Wagner,Richard,Die Walküre,WWV86B
046214,Bach,Johann Sebastian,The Art of Fugue,BWV1080
067694,van Beethoven,Ludwig,"Egmont" Overture in F minor,GAii/12
054242,van Beethoven,Ludwig,Piano Sonata No. 14 "Moonlight" in C♯ minor,GAxvi/137
048428,Mozart,Wolfgang Amadeus,Die Zauberflöte,KV620
046939,Smetana,Bedřich,Má vlast,JB1:112
026716,Mozart,Wolfgang Amadeus,Die Zauberflöte,KV620
007945,Haydn,Joseph,String Quartet No. 62,Hob.III:77
000567,Wagner,Richard,Die Walküre,WWV86B
028081,Haydn,Joseph,The Creation,Hob.XXI:2
054514,Bach,Johann Sebastian,Toccata and Fugue in D minor,BWV565
027541,Mozart,Wolfgang Amadeus,Serenade No. 10,KV361
014383,van Beethoven,Ludwig,Piano Sonata No. 8 "Pathétique" in C minor,GAxvi/131
087040,Mozart,Wolfgang Amadeus,Violin Concerto No. 3 in G major,KV216
027457,Mozart,Wolfgang Amadeus,Symphony No. 29,KV201
049780,Smetana,Bedřich,Libuše,JB1:102
068435,Smetana,Bedřich,Libuše,JB1:102
089110,Mozart,Wolfgang Amadeus,Le nozze di Figaro,KV492
036307,Smetana,Bedřich,Má vlast,JB1:112
033793,Bach,Johann Sebastian,St Matthew Passion,BWV244
001142,Bach,Johann Sebastian,Goldberg Variations,BWV988
084876,Haydn,Joseph,The Creation,Hob.XXI:2
075505,Bach,Johann Sebastian,Toccata and Fugue in D minor,BWV565
069303,Mozart,Wolfgang Amadeus,Die Zauberflöte,KV620
070144,van Beethoven,Ludwig,Piano Sonata No. 8 "Pathétique" in C minor,GAxvi/131
033873,Bach,Johann Sebastian,The Art of Fugue,BWV1080
042288,Mozart,Wolfgang Amadeus,Symphony No. 41,KV551
075997,Mozart,Wolfgang Amadeus,Violin Concerto No. 3 in G major,KV216
076204,Smetana,Bedřich,Libuše,JB1:102
089022,Mozart,Wolfgang Amadeus,Le nozze di Figaro,KV492
