005552,Haydn,Joseph,The Creation,Hob.XXI:2
007453,Wagner,Richard,Die Walküre,WWV86B
028212,van Beethoven,Ludwig,Piano Sonata No. 23,GAxvi/146
079443,Mozart,Wolfgang Amadeus,Don Giovanni,KV527
072181,Bach,Johann Sebastian,Suite No. 3 in D major,BWV1068
041944,Bach,Johann Sebastian,Toccata and Fugue in D minor,BWV565
008159,Mozart,Wolfgang Amadeus,Symphony No. 29,KV201
083886,Mozart,Wolfgang Amadeus,Symphony No. 29,KV201
066861,Bach,Johann Sebastian,St Matthew Passion,BWV244
091457,Smetana,Bedřich,Libuše,JB1:102
084781,Mozart,Wolfgang Amadeus,Violin Concerto No. 3 in G major,KV216
022852,Mozart,Wolfgang Amadeus,Symphony No. 40,KV550
032109,Bach,Johann Sebastian,Concerto No. 2 in F major,BWV1047
073162,Bach,Johann Sebastian,Toccata and Fugue in D minor,BWV565
007644,Bach,Johann Sebastian,Suite No. 3 in D major,BWV1068
016156,Mozart,Wolfgang Amadeus,Don Giovanni,KV527
057728,Handel,George Frideric,Messiah,HWV56
056134,van Beethoven,Ludwig,Symphony No. 5,GAi/5
081892,Mozart,Wolfgang Amadeus,Symphony No. 40,KV550
046694,Handel,George Frideric,Messiah,HWV56
074555,Mozart,Wolfgang Amadeus,Symphony No. 29,KV201
000397,Bach,Johann Sebastian,Suite No. 1 in G major,BWV1007
024517,van Beethoven,Ludwig,Violin Sonata No. 9 in A major,GAxii/100
075011,Wagner,Richard,Das Rheingold,WWV86A
048963,Mozart,Wolfgang Amadeus,Violin Concerto No. 3 in G major,KV216
085246,Wagner,Richard,Tristan und Isolde,WWV90
032128,Bach,Johann Sebastian,Concerto No. 2 in F major,BWV1047
030051,Bach,Johann Sebastian,Concerto No. 2 in F major,BWV1047
017759,Wagner,Richard,Das Rheingold,WWV86A
057539,van Beethoven,Ludwig,Symphony No. 5,GAi/5
071115,Bach,Johann Sebastian,Suite No. 3 in D major,BWV1068
099570,van Beethoven,Ludwig,Piano Sonata No. 23,GAxvi/146
068809,Mozart,Wolfgang Amadeus,Symphony No. 40,KV550
064468,Smetana,Bedřich,Libuše,JB1:102
025171,Mozart,Wolfgang Amadeus,Violin Concerto No. 3 in G major,KV216
093245,van Beethoven,Ludwig,König Stephan Overture in Eb major,GAiii/23
090873,Wagner,Richard,Tristan und Isolde,WWV90
064977,Handel,George Frideric,Messiah,HWV56
098629,Mozart,Wolfgang Amadeus,Die Zauberflöte,KV620
