088953,Dvořák,Antonín,Rusalka,B203
009482,Dvořák,Antonín,Symphony No. 9 in E minor "From the New World",B178
078397,Mozart,Wolfgang Amadeus,Symphony No. 41,KV551
007566,Bach,Johann Sebastian,Suite No. 3 in D major,BWV1068
084630,Wagner,Richard,Parsifal,WWV111
073851,Mozart,Wolfgang Amadeus,Violin Concerto No. 3 in G major,KV216
056425,van Beethoven,Ludwig,"Egmont" Overture in F minor,GAii/12
024795,Wagner,Richard,Parsifal,WWV111
098233,Bach,Johann Sebastian,Goldberg Variations,BWV988
050290,van Beethoven,Ludwig,"Egmont" Overture in F minor,GAii/12
076226,Mozart,Wolfgang Amadeus,Symphony No. 41,KV551
019961,van Beethoven,Ludwig,Piano Sonata No. 15 "Pastoral" in D major,GAxvi/138
055642,van Beethoven,Ludwig,Violin Sonata No. 9 in A major,GAxii/100
022522,Handel,George Frideric,Messiah,HWV56
096098,Wagner,Richard,Tannhäuser und der Sängerkrieg auf Wartburg,WWV70
063774,Wagner,Richard,Der fliegende Holländer,WWV63
019420,Wagner,Richard,Der fliegende Holländer,WWV63
099254,van Beethoven,Ludwig,Piano Sonata No. 14 "Moonlight" in C♯ minor,GAxvi/137
048015,Mozart,Wolfgang Amadeus,Le nozze di Figaro,KV492
049270,Haydn,Joseph,The Creation,Hob.XXI:2
029616,van Beethoven,Ludwig,Piano Sonata No. 14 "Moonlight" in C♯ minor,GAxvi/137
037628,van Beethoven,Ludwig,Violin Sonata No. 9 in A major,GAxii/100
073305,van Beethoven,Ludwig,"Egmont" Overture in F minor,GAii/12
013964,Dvořák,Antonín,Rusalka,B203
004999,Wagner,Richard,Parsifal,WWV111
038532,van Beethoven,Ludwig,Piano Sonata No. 23,GAxvi/146
005071,Handel,George Frideric,Messiah,HWV56
097468,Haydn,Joseph,The Creation,Hob.XXI:2
038129,Mozart,Wolfgang Amadeus,Die Entführung aus dem Serail,KV384
091874,Bach,Johann Sebastian,Goldberg Variations,BWV988
075538,van Beethoven,Ludwig,Symphony No. 5,GAi/5
036611,Haydn,Joseph,The Creation,Hob.XXI:2
043411,Mozart,Wolfgang Amadeus,Die Entführung aus dem Serail,KV384
071242,van Beethoven,Ludwig,Symphony No. 5,GAi/5
069145,Dvořák,Antonín,Symphony No. 9 in E minor "From the New World",B178
034145,Wagner,Richard,Der fliegende Holländer,WWV63
004157,van Beethoven,Ludwig,Symphony No. 5,GAi/5
009087,Mozart,Wolfgang Amadeus,Violin Concerto No. 3 in G major,KV216
061115,van Beethoven,Ludwig,Piano Sonata No. 14 "Moonlight" in C♯ minor,GAxvi/137
062255,Mozart,Wolfgang Amadeus,Violin Concerto No. 3 in G major,KV216
089216,Mozart,Wolfgang Amadeus,Die Entführung aus dem Serail,KV384
023371,van Beethoven,Ludwig,Piano Sonata No. 23,GAxvi/146
095079,Mozart,Wolfgang Amadeus,Symphony No. 41,KV551
056862,Bach,Johann Sebastian,Suite No. 3 in D major,BWV1068
055259,Wagner,Richard,Tannhäuser und der Sängerkrieg auf Wartburg,WWV70
059227,Handel,George Frideric,Messiah,HWV56
081600,Dvořák,Antonín,Symphony No. 9 in E minor "From the New World",B178
098349,Mozart,Wolfgang Amadeus,Symphony No. 29,KV201
082209,Wagner,Richard,Tannhäuser und der Sängerkrieg auf Wartburg,WWV70
040100,Mozart,Wolfgang Amadeus,Le nozze di Figaro,KV492
060638,Dvořák,Antonín,Rusalka,B203
